touchdowns_pass_diff,touchdowns_rush_diff,touchdowns_total_diff,rushing_avg_yards_diff,rushing_attempts_diff,rushing_yards_diff,receiving_receptions_diff,receiving_avg_yards_diff,receiving_yards_diff,punts_attempts_diff,punts_avg_net_yards_diff,punt_returns_avg_yards_diff,penalties_diff,passing_attempts_diff,passing_completions_diff,passing_interceptions_diff,passing_avg_yards_diff,passing_poor_throws_diff,passing_defended_passes_diff,kickoffs_return_yards_diff,kick_returns_avg_yards_diff,kick_returns_touchdowns_diff,interceptions_diff,int_returns_avg_yards_diff,fumbles_diff,field_goals_attempts_diff,field_goals_made_diff,field_goals_avg_yards_diff,defense_tackles_diff,defense_assists_diff,defense_qb_hits_diff,matchup,outcome
9,-6,5,-1.155,-2,-543,5,-0.271,-51,23,-0.659,6.073,16,27,5,1,-0.426,17,-9,133,-0.36,-1,6,27.334,-7,-4,-3,2.696,31,-55,66,Broncos vs Cardinals,1
7,-5,6,0.074,-2,26,43,-1.563,-93,5,0.165,3.737,12,60,43,9,-0.968,15,1,-139,1.545,0,0,17.134,-6,-8,-8,1.772,24,46,44,Broncos vs Chargers,0
4,-3,5,0.161,11,118,-25,0.032,-238,15,0.494,5.789,14,-30,-25,1,-0.062,-9,8,-102,0.931,0,2,20.821,4,-3,-1,8.236,24,73,30,Broncos vs Chiefs,0
10,-8,6,-0.561,-35,-423,90,-2.406,209,9,-0.562,5.846,15,57,90,-7,-0.335,-29,-12,152,-1.273,0,-1,22.104,-6,-3,0,7.425,-52,-54,59,Broncos vs Colts,1
1,-13,-8,-0.84,-65,-711,14,-0.726,-124,27,-0.874,5.292,-3,45,14,3,-0.809,13,9,-1184,-1.243,0,8,6.81,-6,-8,-3,7.988,51,13,54,Broncos vs Commanders,0
7,6,14,0.165,32,203,-19,-0.234,-284,15,0.365,5.85,-20,-67,-19,-2,0.257,-29,-36,-448,-4.088,-2,2,21.205,-15,-13,-9,-1.372,33,16,37,Broncos vs Cowboys,1
8,0,13,0.132,13,113,-34,0.275,-228,20,1.307,6.121,-6,-21,-34,2,-0.148,8,-1,175,-1.038,0,5,26.567,-14,-7,-6,1.402,69,30,61,Broncos vs Dolphins,1
6,-17,-7,-0.769,-160,-1140,76,-1.56,291,22,0.099,6.513,5,122,76,6,-1.169,23,7,-224,1.485,0,2,15.898,-5,-2,3,10.196,64,53,55,Broncos vs Eagles,0
9,-6,4,-0.344,-34,-311,15,-1.719,-475,30,3.686,6.168,9,11,15,-7,-0.981,9,-22,-133,1.633,0,3,13.084,-7,-7,2,8.913,3,11,68,Broncos vs Falcons,1
15,-1,17,-0.066,37,125,13,0.427,287,0,1.961,8.092,-4,-21,13,-1,0.723,-1,-20,147,-0.306,-1,10,18.267,-8,6,8,5.495,30,-76,48,Broncos vs Giants,1
11,-1,13,-0.037,47,179,36,-0.79,91,9,-2.798,3.914,9,24,36,-3,-0.127,-9,-10,330,2.31,0,9,21.834,-5,5,4,2.905,-29,7,74,Broncos vs Jaguars,1
-1,4,7,-0.161,98,347,-6,-0.384,-208,14,1.343,7.631,-29,-37,-6,1,0.065,-17,-7,-199,-2.276,-1,8,26.096,-6,6,11,13.383,-5,43,58,Broncos vs Jets,1
-9,-17,-23,-0.52,-73,-580,-20,-1.778,-910,32,-3.73,2.746,1,19,-20,0,-1.882,13,14,-105,-3.4,0,-1,18.979,2,5,5,1.905,58,109,32,Broncos vs Lions,0
2,-11,-5,-0.606,-65,-588,71,-2.742,-131,21,2.383,7.376,-4,91,71,1,-1.542,1,16,-670,-0.2,0,-2,11.726,-4,-4,-1,7.965,26,18,51,Broncos vs Packers,0
8,-6,7,-0.441,51,30,38,0.044,397,3,0.567,8.317,-10,23,38,-3,0.445,-19,5,-366,2.762,0,6,18.0,-3,8,9,7.824,-11,-105,78,Broncos vs Panthers,1
12,1,17,-0.276,15,-61,37,0.272,465,7,0.483,1.459,-3,41,37,1,0.362,-2,5,75,2.538,0,8,21.667,-16,1,5,6.595,23,-37,76,Broncos vs Patriots,1
11,2,17,0.568,81,551,-31,0.006,-309,10,-0.511,5.914,12,-65,-31,-4,0.198,-19,-10,28,-1.565,0,5,15.667,-4,-6,-3,5.964,47,-16,56,Broncos vs Raiders,1
8,-3,6,0.217,11,143,12,-1.114,-288,14,1.502,6.748,17,11,12,3,-0.646,-13,-7,223,0.621,0,2,17.513,1,0,2,6.174,32,-48,70,Broncos vs Rams,0
-11,-9,-18,-1.617,-93,-1281,61,-3.126,-381,22,0.808,6.01,-24,93,61,8,-2.101,14,13,-191,0.967,0,3,20.167,-5,4,9,8.506,43,27,20,Broncos vs Ravens,0
9,-3,10,-0.262,17,-46,39,-0.924,78,2,1.626,3.15,-2,19,39,0,-0.089,-1,-6,-865,0.973,0,1,16.596,-2,3,4,1.439,-9,37,58,Broncos vs Saints,1
9,-5,4,-0.109,78,281,-34,-0.556,-571,1,-1.29,8.252,-11,-23,-34,-4,-0.703,20,-17,-510,-0.026,-1,2,8.052,-7,4,5,-0.302,17,-8,30,Broncos vs Seahawks,0
9,-2,10,0.075,-72,-258,58,-1.19,201,9,0.673,5.371,6,71,58,6,-0.547,7,13,-531,5.0,0,-2,16.373,-8,-10,-10,-0.154,40,22,37,Broncos vs Steelers,0
10,-3,9,-0.26,27,-1,22,-1.023,-144,0,-1.922,7.399,-11,0,22,0,-0.252,-23,0,-522,-3.391,0,-4,14.193,0,-8,-5,2.844,40,77,44,Broncos vs Texans,0
8,1,14,0.017,11,53,43,-0.73,187,2,3.733,8.251,-24,40,43,-9,-0.151,-12,7,-283,0.975,0,4,20.849,-14,7,6,1.05,28,12,75,Broncos vs Titans,1
-5,3,0,0.08,4,53,15,-1.983,-571,20,1.5,8.859,-2,22,15,0,-1.31,6,-1,205,3.643,0,-9,22.834,-3,-8,-4,4.987,18,11,29,Broncos vs Vikings,0
-22,-8,-30,-1.138,-92,-928,-13,-1.222,-626,39,3.747,2.429,11,90,-13,7,-2.022,45,22,50,-1.494,0,-3,-4.5,-6,-5,-12,-6.613,-12,9,-6,Browns vs Buccaneers,0
-2,-10,-13,-1.181,-72,-843,21,-0.498,20,35,-1.618,0.381,27,118,21,12,-1.239,42,21,205,-3.531,-1,-5,-1.833,-1,-11,-16,-7.512,12,-108,32,Browns vs Cardinals,0
-4,-9,-12,0.048,-72,-274,59,-1.79,-22,17,-0.794,-1.955,23,151,59,20,-1.781,40,31,-67,-1.626,0,-11,-12.033,0,-15,-21,-8.436,5,-7,10,Browns vs Chargers,0
-7,-7,-13,0.135,-59,-182,-9,-0.195,-167,27,-0.465,0.097,25,61,-9,12,-0.875,16,38,-30,-2.24,0,-9,-8.346,10,-10,-14,-1.972,5,20,-4,Browns vs Chiefs,0
-1,-12,-12,-0.587,-105,-723,106,-2.633,280,21,-1.521,0.154,26,148,106,4,-1.148,-4,18,224,-4.444,0,-12,-7.063,0,-10,-13,-2.783,-71,-107,25,Browns vs Colts,0
-10,-17,-26,-0.866,-135,-1011,30,-0.953,-53,39,-1.833,-0.4,8,136,30,14,-1.622,38,39,-1112,-4.414,0,-3,-22.357,0,-15,-16,-2.22,32,-40,20,Browns vs Commanders,0
-4,2,-4,0.139,-38,-97,-3,-0.461,-213,27,-0.594,0.158,-9,24,-3,9,-0.556,-4,-6,-376,-7.259,-2,-9,-7.962,-9,-20,-22,-11.58,14,-37,3,Browns vs Cowboys,0
-3,-4,-5,0.106,-57,-187,-18,0.048,-157,32,0.348,0.429,5,70,-18,13,-0.961,33,29,247,-4.209,0,-6,-2.6,-8,-14,-19,-8.806,50,-23,27,Browns vs Dolphins,0
-5,-21,-25,-0.795,-230,-1440,92,-1.787,362,34,-0.86,0.821,16,213,92,17,-1.982,48,37,-152,-1.686,0,-9,-13.269,1,-9,-10,-0.012,45,0,21,Browns vs Eagles,0
-2,-10,-14,-0.37,-104,-611,31,-1.946,-404,42,2.727,0.476,20,102,31,4,-1.794,34,8,-61,-1.538,0,-8,-16.083,-1,-14,-11,-1.295,-16,-42,34,Browns vs Falcons,0
4,-5,-1,-0.092,-33,-175,29,0.2,358,12,1.002,2.4,7,70,29,10,-0.09,24,10,219,-3.477,-1,-1,-10.9,-2,-1,-5,-4.713,11,-129,14,Browns vs Giants,0
0,-5,-5,-0.063,-23,-121,52,-1.017,162,21,-3.757,-1.778,20,115,52,8,-0.94,16,20,402,-0.861,0,-2,-7.333,1,-2,-9,-7.303,-48,-46,40,Browns vs Jaguars,0
-12,0,-11,-0.187,28,47,10,-0.611,-137,26,0.384,1.939,-18,54,10,12,-0.748,8,23,-127,-5.447,-1,-3,-3.071,0,-1,-2,3.175,-24,-10,24,Browns vs Jets,0
-20,-21,-41,-0.546,-143,-880,-4,-2.005,-839,44,-4.689,-2.946,12,110,-4,11,-2.695,38,44,-33,-6.571,0,-12,-10.188,8,-2,-8,-8.303,39,56,-2,Browns vs Lions,0
-9,-15,-23,-0.632,-135,-888,87,-2.969,-60,33,1.424,1.684,7,182,87,12,-2.355,26,46,-598,-3.371,0,-13,-17.441,2,-11,-14,-2.243,7,-35,17,Browns vs Packers,0
-3,-10,-11,-0.467,-19,-270,54,-0.183,468,15,-0.392,2.625,1,114,54,8,-0.368,6,35,-294,-0.409,0,-5,-11.167,3,1,-4,-2.384,-30,-158,44,Browns vs Panthers,0
1,-3,-1,-0.302,-55,-361,53,0.045,536,19,-0.476,-4.233,8,132,53,12,-0.451,23,35,147,-0.633,0,-3,-7.5,-10,-6,-8,-3.613,4,-90,42,Browns vs Patriots,0
0,-2,-1,0.542,11,251,-15,-0.221,-238,22,-1.47,0.222,23,26,-15,7,-0.615,6,20,100,-4.736,0,-6,-13.5,2,-13,-16,-4.244,28,-69,22,Browns vs Raiders,0
-3,-7,-12,0.191,-59,-157,28,-1.341,-217,26,0.543,1.056,28,102,28,14,-1.459,12,23,295,-2.55,0,-9,-11.654,7,-7,-11,-4.034,13,-101,36,Browns vs Rams,0
-22,-13,-36,-1.643,-163,-1581,77,-3.353,-310,34,-0.151,0.318,-13,184,77,19,-2.914,39,43,-119,-2.204,0,-8,-9.0,1,-3,-4,-1.702,24,-26,-14,Browns vs Ravens,0
-2,-7,-8,-0.288,-53,-346,55,-1.151,149,14,0.667,-2.542,9,110,55,11,-0.902,24,24,-793,-2.198,0,-10,-12.571,4,-4,-9,-8.769,-28,-16,24,Browns vs Saints,0
-2,-9,-14,-0.135,8,-19,-18,-0.783,-500,13,-2.249,2.56,0,68,-18,7,-1.516,45,13,-438,-3.197,-1,-9,-21.115,-1,-3,-8,-10.51,-2,-61,-4,Browns vs Seahawks,0
-2,-6,-8,0.049,-142,-558,74,-1.417,272,21,-0.286,-0.321,17,162,74,17,-1.36,32,43,-459,1.829,0,-13,-12.794,-2,-17,-23,-10.362,21,-31,3,Browns vs Steelers,0
-1,-7,-9,-0.286,-43,-301,38,-1.25,-73,12,-2.881,1.707,0,91,38,11,-1.065,2,30,-450,-6.562,0,-15,-14.974,6,-15,-18,-7.364,21,24,10,Browns vs Texans,0
-3,-3,-4,-0.009,-59,-247,59,-0.957,258,14,2.774,2.559,-13,131,59,2,-0.964,13,37,-211,-2.196,0,-7,-8.318,-8,0,-7,-9.158,9,-41,41,Browns vs Titans,0
-16,-1,-18,0.054,-66,-247,31,-2.21,-500,32,0.541,3.167,9,113,31,11,-2.123,31,29,277,0.472,0,-20,-6.333,3,-15,-17,-5.221,-1,-42,-5,Browns vs Vikings,0
20,-2,17,-0.043,20,85,34,0.724,646,-4,-5.365,-2.048,16,28,34,5,0.783,-3,-1,155,-2.037,-1,-2,2.667,5,-6,-4,-0.899,24,-117,38,Buccaneers vs Cardinals,1
18,-1,18,1.186,20,654,72,-0.568,604,-22,-4.541,-4.384,12,61,72,13,0.241,-5,9,-117,-0.132,0,-8,-7.533,6,-10,-9,-1.823,17,-16,16,Buccaneers vs Chargers,0
15,1,17,1.273,33,746,4,1.027,459,-12,-4.212,-2.332,14,-29,4,5,1.147,-29,16,-80,-0.746,0,-6,-3.846,16,-5,-2,4.641,17,11,2,Buccaneers vs Chiefs,0
21,-4,18,0.551,-13,205,119,-1.411,906,-18,-5.268,-2.275,15,58,119,-3,0.874,-49,-4,174,-2.95,0,-9,-2.563,6,-5,-1,3.83,-59,-116,31,Buccaneers vs Colts,1
12,-9,4,0.272,-43,-83,43,0.269,573,0,-5.58,-2.829,-3,46,43,7,0.4,-7,17,-1162,-2.92,0,0,-17.857,6,-10,-4,4.393,44,-49,26,Buccaneers vs Commanders,0
18,10,26,1.277,54,831,10,0.761,413,-12,-4.341,-2.271,-20,-66,10,2,1.466,-49,-28,-426,-5.765,-2,-6,-3.462,-3,-15,-10,-4.967,26,-46,9,Buccaneers vs Cowboys,1
19,4,25,1.244,35,741,-5,1.27,469,-7,-3.399,-2.0,-6,-20,-5,6,1.061,-12,7,197,-2.715,0,-3,1.9,-2,-9,-7,-2.193,62,-32,33,Buccaneers vs Dolphins,1
17,-13,5,0.343,-138,-512,105,-0.565,988,-5,-4.607,-1.608,5,123,105,10,0.04,3,15,-202,-0.192,0,-6,-8.769,7,-4,2,6.601,57,-9,27,Buccaneers vs Eagles,0
20,-2,16,0.768,-12,317,44,-0.724,222,3,-1.02,-1.953,9,12,44,-3,0.228,-11,-14,-111,-0.044,0,-5,-11.583,5,-9,1,5.318,-4,-51,40,Buccaneers vs Falcons,1
26,3,29,1.046,59,753,42,1.422,984,-27,-2.745,-0.029,-4,-20,42,3,1.932,-21,-12,169,-1.983,-1,2,-6.4,4,4,7,1.9,23,-138,20,Buccaneers vs Giants,1
22,3,25,1.075,69,807,65,0.205,788,-18,-7.504,-4.207,9,25,65,1,1.082,-29,-2,352,0.633,0,1,-2.833,7,3,3,-0.69,-36,-55,46,Buccaneers vs Jaguars,1
10,8,19,0.951,120,975,23,0.611,489,-13,-3.363,-0.49,-29,-36,23,5,1.274,-37,1,-177,-3.953,-1,0,1.429,6,4,10,9.788,-12,-19,30,Buccaneers vs Jets,1
2,-13,-11,0.592,-51,48,9,-0.783,-213,5,-8.436,-5.375,1,20,9,4,-0.673,-7,22,-83,-5.077,0,-9,-5.688,14,3,4,-1.69,51,47,4,Buccaneers vs Lions,0
13,-7,7,0.506,-43,40,100,-1.747,566,-6,-2.323,-0.745,-4,92,100,5,-0.333,-19,24,-648,-1.877,0,-10,-12.941,8,-6,-2,4.37,19,-44,23,Buccaneers vs Packers,0
19,-2,19,0.671,73,658,67,1.039,1094,-24,-4.139,0.196,-10,24,67,1,1.654,-39,13,-344,1.085,0,-2,-6.667,9,6,8,4.229,-18,-167,50,Buccaneers vs Panthers,1
23,5,29,0.836,37,567,66,1.267,1162,-20,-4.223,-6.662,-3,42,66,5,1.571,-22,13,97,0.861,0,0,-3.0,-4,-1,4,3.0,16,-99,48,Buccaneers vs Patriots,1
22,6,29,1.68,103,1179,-2,1.001,388,-17,-5.217,-2.207,12,-64,-2,0,1.407,-39,-2,50,-3.242,0,-3,-9.0,8,-8,-4,2.369,40,-78,28,Buccaneers vs Raiders,1
19,1,18,1.329,33,771,41,-0.119,409,-13,-3.204,-1.373,17,12,41,7,0.563,-33,1,245,-1.056,0,-6,-7.154,13,-2,1,2.579,25,-110,42,Buccaneers vs Rams,0
0,-5,-6,-0.505,-71,-653,90,-2.131,316,-5,-3.898,-2.111,-24,94,90,12,-0.892,-6,21,-169,-0.71,0,-5,-4.5,7,2,8,4.911,36,-35,-8,Buccaneers vs Ravens,0
20,1,22,0.85,39,582,68,0.071,775,-25,-3.08,-4.971,-2,20,68,4,1.12,-21,2,-843,-0.704,0,-7,-8.071,10,1,3,-2.156,-16,-25,30,Buccaneers vs Saints,1
20,-1,16,1.003,100,909,-5,0.439,126,-26,-5.996,0.131,-11,-22,-5,0,0.506,0,-9,-488,-1.703,-1,-6,-16.615,5,2,4,-3.897,10,-70,2,Buccaneers vs Seahawks,0
20,2,22,1.187,-50,370,87,-0.195,898,-18,-4.033,-2.75,6,72,87,10,0.662,-13,21,-509,3.323,0,-10,-8.294,4,-12,-11,-3.749,33,-40,9,Buccaneers vs Steelers,0
21,1,21,0.852,49,627,51,-0.028,553,-27,-6.628,-0.722,-11,1,51,4,0.957,-43,8,-500,-5.068,0,-12,-10.474,12,-10,-6,-0.751,33,15,16,Buccaneers vs Texans,0
19,5,26,1.129,33,681,72,0.265,884,-25,-0.973,0.13,-24,41,72,-5,1.058,-32,15,-261,-0.702,0,-4,-3.818,-2,5,5,-2.545,21,-50,47,Buccaneers vs Titans,1
6,7,12,1.192,26,681,44,-0.988,126,-7,-3.206,0.738,-2,23,44,4,-0.101,-14,7,227,1.966,0,-17,-1.833,9,-10,-5,1.392,11,-51,1,Buccaneers vs Vikings,0
-2,1,1,1.229,0,569,38,-1.292,-42,-18,0.824,-2.336,-4,33,38,8,-0.542,-2,10,-272,1.905,1,-6,-10.2,1,-4,-5,-0.924,-7,101,-22,Cardinals vs Chargers,0
-5,3,0,1.316,13,661,-30,0.303,-187,-8,1.153,-0.284,-2,-57,-30,0,0.364,-26,17,-235,1.291,1,-4,-6.513,11,1,2,5.54,-7,128,-36,Cardinals vs Chiefs,0
1,-2,1,0.594,-33,120,85,-2.135,260,-14,0.097,-0.227,-1,30,85,-8,0.091,-46,-3,19,-0.913,1,-7,-5.23,1,1,3,4.729,-83,1,-7,Cardinals vs Colts,0
-8,-7,-13,0.315,-63,-168,9,-0.455,-73,4,-0.215,-0.781,-19,18,9,2,-0.383,-4,18,-1317,-0.883,1,2,-20.524,1,-4,0,5.292,20,68,-12,Cardinals vs Commanders,0
-2,12,9,1.32,34,746,-24,0.037,-233,-8,1.024,-0.223,-36,-94,-24,-3,0.683,-46,-27,-581,-3.728,-1,-4,-6.129,-8,-9,-6,-4.068,2,71,-29,Cardinals vs Cowboys,1
-1,6,8,1.287,15,656,-39,0.546,-177,-3,1.966,0.048,-22,-48,-39,1,0.278,-9,8,42,-0.678,1,-1,-0.767,-7,-3,-3,-1.294,38,85,-5,Cardinals vs Dolphins,0
-3,-11,-12,0.386,-158,-597,71,-1.289,342,-1,0.758,0.44,-11,95,71,5,-0.743,6,16,-357,1.845,1,-4,-11.436,2,2,6,7.5,33,108,-11,Cardinals vs Eagles,0
0,0,-1,0.811,-32,232,10,-1.448,-424,7,4.345,0.095,-7,-16,10,-8,-0.555,-8,-13,-266,1.993,1,-3,-14.25,0,-3,5,6.217,-28,66,2,Cardinals vs Falcons,0
6,5,12,1.089,39,668,8,0.698,338,-23,2.62,2.019,-20,-48,8,-2,1.149,-18,-11,14,0.054,0,4,-9.067,-1,10,11,2.799,-1,-21,-18,Cardinals vs Giants,1
2,5,8,1.118,49,722,31,-0.519,142,-14,-2.139,-2.159,-7,-3,31,-4,0.299,-26,-1,197,2.67,1,3,-5.5,2,9,7,0.209,-60,62,8,Cardinals vs Jaguars,1
-10,10,2,0.994,100,890,-11,-0.113,-157,-9,2.002,1.558,-45,-64,-11,0,0.491,-34,2,-332,-1.916,0,2,-1.238,1,10,14,10.687,-36,98,-8,Cardinals vs Jets,1
-18,-11,-28,0.635,-71,-37,-25,-1.507,-859,9,-3.071,-3.327,-15,-8,-25,-1,-1.456,-4,23,-238,-3.04,1,-7,-8.355,9,9,8,-0.791,27,164,-34,Cardinals vs Lions,0
-7,-5,-10,0.549,-63,-45,66,-2.471,-80,-2,3.042,1.303,-20,64,66,0,-1.116,-16,25,-803,0.16,1,-8,-15.608,3,0,2,5.269,-5,73,-15,Cardinals vs Packers,0
-1,0,2,0.714,53,573,33,0.315,448,-20,1.226,2.244,-26,-4,33,-4,0.871,-36,14,-499,3.122,1,0,-9.334,4,12,12,5.128,-42,-50,12,Cardinals vs Panthers,1
3,7,12,0.879,17,482,32,0.543,516,-16,1.142,-4.614,-19,14,32,0,0.788,-19,14,-58,2.898,1,2,-5.667,-9,5,8,3.899,-8,18,10,Cardinals vs Patriots,1
2,8,12,1.723,83,1094,-36,0.277,-258,-13,0.148,-0.159,-4,-92,-36,-5,0.624,-36,-1,-105,-1.205,1,-1,-11.667,3,-2,0,3.268,16,39,-10,Cardinals vs Raiders,1
-1,3,1,1.372,13,686,7,-0.843,-237,-9,2.161,0.675,1,-16,7,2,-0.22,-30,2,90,0.981,1,-4,-9.821,8,4,5,3.478,1,7,4,Cardinals vs Rams,0
-20,-3,-23,-0.462,-91,-738,56,-2.855,-330,-1,1.467,-0.063,-40,66,56,7,-1.675,-3,22,-324,1.327,1,-3,-7.167,2,8,12,5.81,12,82,-46,Cardinals vs Ravens,0
0,3,5,0.893,19,497,34,-0.653,129,-21,2.285,-2.923,-18,-8,34,-1,0.337,-18,3,-998,1.333,1,-5,-10.738,5,7,7,-1.257,-40,92,-8,Cardinals vs Saints,1
0,1,-1,1.046,80,824,-39,-0.285,-520,-22,-0.631,2.179,-27,-50,-39,-5,-0.277,3,-8,-643,0.334,0,-4,-19.282,0,8,8,-2.998,-14,47,-36,Cardinals vs Seahawks,0
0,4,5,1.23,-70,285,53,-0.919,252,-14,1.332,-0.702,-10,44,53,5,-0.121,-10,22,-664,5.36,1,-8,-10.961,-1,-6,-7,-2.85,9,77,-29,Cardinals vs Steelers,0
1,3,4,0.895,29,542,17,-0.752,-93,-23,-1.263,1.326,-27,-27,17,-1,0.174,-40,9,-655,-3.031,1,-10,-13.141,7,-4,-2,0.148,9,132,-22,Cardinals vs Texans,0
-1,7,9,1.172,13,596,38,-0.459,238,-21,4.392,2.178,-40,13,38,-10,0.275,-29,16,-416,1.335,1,-2,-6.485,-7,11,9,-1.646,-3,67,9,Cardinals vs Titans,1
-14,9,-5,1.235,6,596,10,-1.712,-520,-3,2.159,2.786,-18,-5,10,-1,-0.884,-11,8,72,4.003,1,-15,-4.5,4,-4,-1,2.291,-13,66,-37,Cardinals vs Vikings,0
-3,2,-1,0.087,13,92,-68,1.595,-145,10,0.329,2.052,2,-90,-68,-8,0.906,-24,7,37,-0.614,0,2,3.687,10,5,7,6.464,0,27,-14,Chargers vs Chiefs,0
3,-3,0,-0.635,-33,-449,47,-0.843,302,4,-0.727,2.109,3,-3,47,-16,0.633,-44,-13,291,-2.818,0,-1,4.97,0,5,8,5.653,-76,-100,15,Chargers vs Colts,1
-6,-8,-14,-0.914,-63,-737,-29,0.837,-31,22,-1.039,1.555,-15,-15,-29,-6,0.159,-2,8,-1045,-2.788,0,8,-10.324,0,0,5,6.216,27,-33,10,Chargers vs Commanders,0
0,11,8,0.091,34,177,-62,1.329,-191,10,0.2,2.113,-32,-127,-62,-11,1.225,-44,-37,-309,-5.633,-2,2,4.071,-9,-5,-1,-3.144,9,-30,-7,Chargers vs Cowboys,1
1,5,7,0.058,15,87,-77,1.838,-135,15,1.142,2.384,-18,-81,-77,-7,0.82,-7,-2,314,-2.583,0,5,9.433,-8,1,2,-0.37,45,-16,17,Chargers vs Dolphins,1
-1,-12,-13,-0.843,-158,-1166,33,0.003,384,17,-0.066,2.776,-7,62,33,-3,-0.201,8,6,-85,-0.06,0,2,-1.236,1,6,11,8.424,40,7,11,Chargers vs Eagles,0
2,-1,-2,-0.418,-32,-337,-28,-0.156,-382,25,3.521,2.431,-3,-49,-28,-16,-0.013,-6,-23,6,0.088,0,3,-4.05,-1,1,10,7.141,-21,-35,24,Chargers vs Falcons,1
8,4,11,-0.14,39,99,-30,1.99,380,-5,1.796,4.355,-16,-81,-30,-10,1.691,-16,-21,286,-1.851,-1,10,1.133,-2,14,16,3.723,6,-122,4,Chargers vs Giants,1
4,4,7,-0.111,49,153,-7,0.773,184,4,-2.963,0.177,-3,-36,-7,-12,0.841,-24,-11,469,0.765,0,9,4.7,1,13,12,1.133,-53,-39,30,Chargers vs Jaguars,1
-8,9,1,-0.235,100,321,-49,1.179,-115,9,1.178,3.894,-41,-97,-49,-8,1.033,-32,-8,-60,-3.821,-1,8,8.962,0,14,19,11.611,-29,-3,14,Chargers vs Jets,1
-16,-12,-29,-0.594,-71,-606,-63,-0.215,-817,27,-3.895,-0.991,-11,-41,-63,-9,-0.914,-2,13,34,-4.945,0,-1,1.845,8,13,13,0.133,34,63,-12,Chargers vs Lions,0
-5,-6,-11,-0.68,-63,-614,28,-1.179,-38,16,2.218,3.639,-16,31,28,-8,-0.574,-14,15,-531,-1.745,0,-2,-5.408,2,4,7,6.193,2,-28,7,Chargers vs Packers,0
1,-1,1,-0.515,53,4,-5,1.607,490,-2,0.402,4.58,-22,-37,-5,-12,1.413,-34,4,-227,1.217,0,6,0.866,3,16,17,6.052,-35,-151,34,Chargers vs Panthers,1
5,6,11,-0.35,17,-87,-6,1.835,558,2,0.318,-2.278,-15,-19,-6,-8,1.33,-17,4,214,0.993,0,8,4.533,-10,9,13,4.823,-1,-83,32,Chargers vs Patriots,1
4,7,11,0.494,83,525,-74,1.569,-216,5,-0.676,2.177,0,-125,-74,-13,1.166,-34,-11,167,-3.11,0,5,-1.467,2,2,5,4.192,23,-62,12,Chargers vs Raiders,1
1,2,0,0.143,13,117,-31,0.449,-195,9,1.337,3.011,5,-49,-31,-6,0.322,-28,-8,362,-0.924,0,2,0.379,7,8,10,4.402,8,-94,26,Chargers vs Rams,1
-18,-4,-24,-1.691,-91,-1307,18,-1.563,-288,17,0.643,2.273,-36,33,18,-1,-1.133,-1,12,-52,-0.578,0,3,3.033,1,12,17,6.734,19,-19,-24,Chargers vs Ravens,0
2,2,4,-0.336,19,-72,-4,0.639,171,-3,1.461,-0.587,-14,-41,-4,-9,0.879,-16,-7,-726,-0.572,0,1,-0.538,4,11,12,-0.333,-33,-9,14,Chargers vs Saints,1
2,0,-2,-0.183,80,255,-77,1.007,-478,-4,-1.455,4.515,-23,-83,-77,-13,0.265,5,-18,-371,-1.571,-1,2,-9.082,-1,12,13,-2.074,-7,-54,-14,Chargers vs Seahawks,1
2,3,4,0.001,-70,-284,15,0.373,294,4,0.508,1.634,-6,11,15,-3,0.421,-8,12,-392,3.455,0,-2,-0.761,-2,-2,-2,-1.926,16,-24,-7,Chargers vs Steelers,1
3,2,3,-0.334,29,-27,-21,0.54,-51,-5,-2.087,3.662,-23,-60,-21,-9,0.716,-38,-1,-383,-4.936,0,-4,-2.941,6,0,3,1.072,16,31,0,Chargers vs Texans,1
1,6,8,-0.057,13,27,0,0.833,280,-3,3.568,4.514,-36,-20,0,-18,0.817,-27,6,-144,-0.57,0,4,3.715,-8,15,14,-0.722,4,-34,31,Chargers vs Titans,1
-12,8,-6,0.006,6,27,-28,-0.42,-478,15,1.335,5.122,-14,-38,-28,-9,-0.342,-9,-2,344,2.098,0,-9,5.7,3,0,4,3.215,-6,-35,-15,Chargers vs Vikings,0
6,-5,1,-0.722,-46,-541,115,-2.438,447,-6,-1.056,0.057,1,87,115,-8,-0.273,-20,-20,254,-2.204,0,-3,1.283,-10,0,1,-0.811,-76,-127,29,Chiefs vs Colts,1
