touchdowns_pass_diff,touchdowns_rush_diff,touchdowns_total_diff,rushing_avg_yards_diff,rushing_attempts_diff,rushing_yards_diff,receiving_receptions_diff,receiving_avg_yards_diff,receiving_yards_diff,punts_attempts_diff,punts_avg_net_yards_diff,punt_returns_avg_yards_diff,penalties_diff,passing_attempts_diff,passing_completions_diff,passing_interceptions_diff,passing_avg_yards_diff,passing_poor_throws_diff,passing_defended_passes_diff,kickoffs_return_yards_diff,kick_returns_avg_yards_diff,kick_returns_touchdowns_diff,interceptions_diff,int_returns_avg_yards_diff,fumbles_diff,field_goals_attempts_diff,field_goals_made_diff,field_goals_avg_yards_diff,defense_tackles_diff,defense_assists_diff,defense_qb_hits_diff,matchup,outcome
-3,-10,-13,-1.001,-76,-829,39,-0.758,114,12,-1.368,-0.497,-17,75,39,2,-0.747,22,1,-1082,-2.174,0,6,-14.011,-10,-5,-2,-0.248,27,-60,24,Chiefs vs Commanders,1
3,9,9,0.004,21,85,6,-0.266,-46,0,-0.129,0.061,-34,-37,6,-3,0.319,-20,-44,-346,-5.019,-2,0,0.384,-19,-10,-8,-9.608,9,-57,7,Chiefs vs Cowboys,1
4,3,8,-0.029,2,-5,-9,0.243,10,5,0.813,0.332,-20,9,-9,1,-0.086,17,-9,277,-1.969,0,3,5.746,-18,-4,-5,-6.834,45,-43,31,Chiefs vs Dolphins,1
2,-14,-12,-0.93,-171,-1258,101,-1.592,529,7,-0.395,0.724,-9,152,101,5,-1.107,32,-1,-122,0.554,0,0,-4.923,-9,1,4,1.96,40,-20,25,Chiefs vs Eagles,1
5,-3,-1,-0.505,-45,-429,40,-1.751,-237,15,3.192,0.379,-5,41,40,-8,-0.919,18,-30,-31,0.702,0,1,-7.737,-11,-4,3,0.677,-21,-62,38,Chiefs vs Falcons,1
11,2,12,-0.227,26,7,38,0.395,525,-15,1.467,2.303,-18,9,38,-2,0.785,8,-28,249,-1.237,-1,8,-2.554,-12,9,9,-2.741,6,-149,18,Chiefs vs Giants,1
7,2,8,-0.198,36,61,61,-0.822,329,-6,-3.292,-1.875,-5,54,61,-4,-0.065,0,-18,432,1.379,0,7,1.013,-9,8,5,-5.331,-53,-66,44,Chiefs vs Jaguars,1
-5,7,2,-0.322,87,229,19,-0.416,30,-1,0.849,1.842,-43,-7,19,0,0.127,-8,-15,-97,-3.207,-1,6,5.275,-10,9,12,5.147,-29,-30,28,Chiefs vs Jets,1
-13,-14,-28,-0.681,-84,-698,5,-1.81,-672,17,-4.224,-3.043,-13,49,5,-1,-1.82,22,6,-3,-4.331,0,-3,-1.842,-2,8,6,-6.331,34,36,2,Chiefs vs Lions,0
-2,-8,-10,-0.767,-76,-706,96,-2.774,107,6,1.889,1.587,-18,121,96,0,-1.48,10,8,-568,-1.131,0,-4,-9.095,-8,-1,0,-0.271,2,-55,21,Chiefs vs Packers,1
4,-3,2,-0.602,40,-88,63,0.012,635,-12,0.073,2.528,-24,53,63,-4,0.507,-10,-3,-264,1.831,0,4,-2.821,-7,11,10,-0.412,-35,-178,48,Chiefs vs Panthers,1
8,4,12,-0.437,4,-179,62,0.24,703,-8,-0.011,-4.33,-17,71,62,0,0.424,7,-3,177,1.607,0,6,0.846,-20,4,6,-1.641,-1,-110,46,Chiefs vs Patriots,1
7,5,12,0.407,70,433,-6,-0.026,-71,-5,-1.005,0.125,-2,-35,-6,-5,0.26,-10,-18,130,-2.496,0,3,-5.154,-8,-3,-2,-2.272,23,-89,26,Chiefs vs Raiders,1
4,0,1,0.056,0,25,37,-1.146,-50,-1,1.008,0.959,3,41,37,2,-0.584,-4,-15,325,-0.31,0,0,-3.308,-3,3,3,-2.062,8,-121,40,Chiefs vs Rams,1
-15,-6,-23,-1.778,-104,-1399,86,-3.158,-143,7,0.314,0.221,-38,123,86,7,-2.039,23,5,-89,0.036,0,1,-0.654,-9,7,10,0.27,19,-46,-10,Chiefs vs Ravens,1
5,0,5,-0.423,6,-164,64,-0.956,316,-13,1.132,-2.639,-16,49,64,-1,-0.027,8,-14,-763,0.042,0,-1,-4.225,-6,6,5,-6.797,-33,-36,28,Chiefs vs Saints,1
5,-2,-1,-0.27,67,163,-9,-0.588,-333,-14,-1.784,2.463,-25,7,-9,-5,-0.641,29,-25,-408,-0.957,-1,0,-12.769,-11,7,6,-8.538,-7,-81,0,Chiefs vs Seahawks,1
5,1,5,-0.086,-83,-376,83,-1.222,439,-6,0.179,-0.418,-8,101,83,5,-0.485,16,5,-429,4.069,0,-4,-4.448,-12,-7,-9,-8.39,16,-51,7,Chiefs vs Steelers,1
6,0,4,-0.421,16,-119,47,-1.055,94,-15,-2.416,1.61,-25,30,47,-1,-0.19,-14,-8,-420,-4.322,0,-6,-6.628,-4,-5,-4,-5.392,16,4,14,Chiefs vs Texans,1
4,4,9,-0.144,0,-65,68,-0.762,425,-13,3.239,2.462,-38,70,68,-10,-0.089,-3,-1,-181,0.044,0,2,0.028,-18,10,7,-7.186,4,-61,45,Chiefs vs Titans,1
-9,6,-5,-0.081,-7,-65,40,-2.015,-333,5,1.006,3.07,-16,52,40,-1,-1.248,15,-9,307,2.712,0,-11,2.013,-7,-5,-3,-3.249,-6,-62,-1,Chiefs vs Vikings,1
-9,-5,-14,-0.279,-30,-288,-76,1.68,-333,18,-0.312,-0.554,-18,-12,-76,10,-0.474,42,21,-1336,0.03,0,9,-15.294,0,-5,-3,0.563,103,67,-5,Colts vs Commanders,0
-3,14,8,0.726,67,626,-109,2.172,-493,6,0.927,0.004,-35,-124,-109,5,0.592,0,-24,-600,-2.815,-2,3,-0.899,-9,-10,-9,-8.797,85,70,-22,Colts vs Cowboys,1
-2,8,7,0.693,48,536,-124,2.681,-437,11,1.869,0.275,-21,-78,-124,9,0.187,37,11,23,0.235,0,6,4.463,-8,-4,-6,-6.023,121,84,2,Colts vs Dolphins,0
-4,-9,-13,-0.208,-125,-717,-14,0.846,82,13,0.661,0.667,-10,65,-14,13,-0.834,52,19,-376,2.758,0,3,-6.206,1,1,3,2.771,116,107,-4,Colts vs Eagles,0
-1,2,-2,0.217,1,112,-75,0.687,-684,21,4.248,0.322,-6,-46,-75,0,-0.646,38,-10,-285,2.906,0,4,-9.02,-1,-4,2,1.488,55,65,9,Colts vs Falcons,0
5,7,11,0.495,72,548,-77,2.833,78,-9,2.523,2.246,-19,-78,-77,6,1.058,28,-8,-5,0.967,-1,11,-3.837,-2,9,8,-1.93,82,-22,-11,Colts vs Giants,1
1,7,7,0.524,82,602,-54,1.616,-118,0,-2.236,-1.932,-6,-33,-54,4,0.208,20,2,178,3.583,0,10,-0.27,1,8,4,-4.52,23,61,15,Colts vs Jaguars,1
-11,12,1,0.4,133,770,-96,2.022,-417,5,1.905,1.785,-44,-94,-96,8,0.4,12,5,-351,-1.003,-1,9,3.992,0,9,11,5.958,47,97,-1,Colts vs Jets,1
-19,-9,-29,0.041,-38,-157,-110,0.628,-1119,23,-3.168,-3.1,-14,-38,-110,7,-1.547,42,26,-257,-2.127,0,0,-3.125,8,8,5,-5.52,110,163,-27,Colts vs Lions,0
-8,-3,-11,-0.045,-30,-165,-19,-0.336,-340,12,2.945,1.53,-19,34,-19,8,-1.207,30,28,-822,1.073,0,-1,-10.378,2,-1,-1,0.54,78,72,-8,Colts vs Packers,0
-2,2,1,0.12,86,453,-52,2.45,188,-6,1.129,2.471,-25,-34,-52,4,0.78,10,17,-518,4.035,0,7,-4.104,3,11,9,0.399,41,-51,19,Colts vs Panthers,1
2,9,11,0.285,50,362,-53,2.678,256,-2,1.045,-4.387,-18,-16,-53,8,0.697,27,17,-77,3.811,0,9,-0.437,-10,4,5,-0.83,75,17,17,Colts vs Patriots,1
1,10,11,1.129,116,974,-121,2.412,-518,1,0.051,0.068,-3,-122,-121,3,0.533,10,2,-124,-0.292,0,6,-6.437,2,-3,-3,-1.461,99,38,-3,Colts vs Raiders,1
-2,5,0,0.778,46,566,-78,1.292,-497,5,2.064,0.902,2,-46,-78,10,-0.311,16,5,71,1.894,0,3,-4.591,7,3,2,-1.251,84,6,11,Colts vs Rams,0
-21,-1,-24,-1.056,-58,-858,-29,-0.72,-590,13,1.37,0.164,-39,36,-29,15,-1.766,43,25,-343,2.24,0,4,-1.937,1,7,9,1.081,95,81,-39,Colts vs Ravens,0
-1,5,4,0.299,52,377,-51,1.482,-131,-7,2.188,-2.696,-17,-38,-51,7,0.246,28,6,-1017,2.246,0,2,-5.508,4,6,4,-5.986,43,91,-1,Colts vs Saints,1
-1,3,-2,0.452,113,704,-124,1.85,-780,-8,-0.728,2.406,-26,-80,-124,3,-0.368,49,-5,-662,1.247,-1,3,-14.052,-1,7,5,-7.727,69,46,-29,Colts vs Seahawks,0
-1,6,4,0.636,-37,165,-32,1.216,-8,0,1.235,-0.475,-9,14,-32,13,-0.212,36,25,-683,6.273,0,-1,-5.731,-2,-7,-10,-7.579,92,76,-22,Colts vs Steelers,0
0,5,3,0.301,62,422,-68,1.383,-353,-9,-1.36,1.553,-26,-57,-68,7,0.083,6,12,-674,-2.118,0,-3,-7.911,6,-5,-5,-4.581,92,131,-15,Colts vs Texans,0
-2,9,8,0.578,46,476,-47,1.676,-22,-7,4.295,2.405,-39,-17,-47,-2,0.184,17,19,-435,2.248,0,5,-1.255,-8,10,6,-6.375,80,66,16,Colts vs Titans,1
-15,11,-6,0.641,39,476,-75,0.423,-780,11,2.062,3.013,-17,-35,-75,7,-0.975,35,11,53,4.916,0,-8,0.73,3,-5,-4,-2.438,70,65,-30,Colts vs Vikings,0
6,19,22,1.005,97,914,-33,0.492,-160,-12,1.239,0.558,-17,-112,-33,-5,1.066,-42,-45,736,-2.845,-2,-6,14.395,-9,-5,-6,-9.36,-18,3,-17,Commanders vs Cowboys,1
7,13,21,0.972,78,824,-48,1.001,-104,-7,2.181,0.829,-3,-66,-48,-1,0.661,-5,-10,1359,0.205,0,-3,19.757,-8,1,-3,-6.586,18,17,7,Commanders vs Dolphins,1
5,-4,1,0.071,-95,-429,62,-0.834,415,-5,0.973,1.221,8,77,62,3,-0.36,10,-2,960,2.728,0,-6,9.088,1,6,6,2.208,13,40,1,Commanders vs Eagles,0
8,7,12,0.496,31,400,1,-0.993,-351,3,4.56,0.876,12,-34,1,-10,-0.172,-4,-31,1051,2.876,0,-5,6.274,-1,1,5,0.925,-48,-2,14,Commanders vs Falcons,1
14,12,25,0.774,102,836,-1,1.153,411,-27,2.835,2.8,-1,-66,-1,-4,1.532,-14,-29,1331,0.937,-1,2,11.457,-2,14,11,-2.493,-21,-89,-6,Commanders vs Giants,1
10,12,21,0.803,112,890,22,-0.064,215,-18,-1.924,-1.378,12,-21,22,-6,0.682,-22,-19,1514,3.553,0,1,15.024,1,13,7,-5.083,-80,-6,20,Commanders vs Jaguars,1
-2,17,15,0.679,163,1058,-20,0.342,-84,-13,2.217,2.339,-26,-82,-20,-2,0.874,-30,-16,985,-1.033,-1,0,19.286,0,14,14,5.395,-56,30,4,Commanders vs Jets,1
-10,-4,-15,0.32,-8,131,-34,-1.052,-786,5,-2.856,-2.546,4,-26,-34,-3,-1.073,0,5,1079,-2.157,0,-9,12.169,8,13,8,-6.083,7,96,-22,Commanders vs Lions,0
1,2,3,0.234,0,123,57,-2.016,-7,-6,3.257,2.084,-1,46,57,-2,-0.733,-12,7,514,1.043,0,-10,4.916,2,4,2,-0.023,-25,5,-3,Commanders vs Packers,1
7,7,15,0.399,116,741,24,0.77,521,-24,1.441,3.025,-7,-22,24,-6,1.254,-32,-4,818,4.005,0,-2,11.19,3,16,12,-0.164,-62,-118,24,Commanders vs Panthers,1
11,14,25,0.564,80,650,23,0.998,589,-20,1.357,-3.833,0,-4,23,-2,1.171,-15,-4,1259,3.781,0,0,14.857,-10,9,8,-1.393,-28,-50,22,Commanders vs Patriots,1
10,15,25,1.408,146,1262,-45,0.732,-185,-17,0.363,0.622,15,-110,-45,-7,1.007,-32,-19,1212,-0.322,0,-3,8.857,2,2,0,-2.024,-4,-29,2,Commanders vs Raiders,1
7,10,14,1.057,76,854,-2,-0.388,-164,-13,2.376,1.456,20,-34,-2,0,0.163,-26,-16,1407,1.864,0,-6,10.703,7,8,5,-1.814,-19,-61,16,Commanders vs Rams,1
-12,4,-10,-0.777,-28,-570,47,-2.4,-257,-5,1.682,0.718,-21,48,47,5,-1.292,1,4,993,2.21,0,-5,13.357,1,12,12,0.518,-8,14,-34,Commanders vs Ravens,0
8,10,18,0.578,82,665,25,-0.198,202,-25,2.5,-2.142,1,-26,25,-3,0.72,-14,-15,319,2.216,0,-7,9.786,4,11,7,-6.549,-60,24,4,Commanders vs Saints,1
8,8,12,0.731,143,992,-48,0.17,-447,-26,-0.416,2.96,-8,-68,-48,-7,0.106,7,-26,674,1.217,-1,-6,1.242,-1,12,8,-8.29,-34,-21,-24,Commanders vs Seahawks,1
8,11,18,0.915,-7,453,44,-0.464,325,-18,1.547,0.079,9,26,44,3,0.262,-6,4,653,6.243,0,-10,9.563,-2,-2,-7,-8.142,-11,9,-17,Commanders vs Steelers,1
9,10,17,0.58,92,710,8,-0.297,-20,-27,-1.048,2.107,-8,-45,8,-3,0.557,-36,-9,662,-2.148,0,-12,7.383,6,0,-2,-5.144,-11,64,-10,Commanders vs Texans,1
7,14,22,0.857,76,764,29,-0.004,311,-25,4.607,2.959,-21,-5,29,-12,0.658,-25,-2,901,2.218,0,-4,14.039,-8,15,9,-6.938,-23,-1,21,Commanders vs Titans,1
-6,16,8,0.92,69,764,1,-1.257,-447,-7,2.374,3.567,1,-23,1,-3,-0.501,-7,-10,1389,4.886,0,-17,16.024,3,0,-1,-3.001,-33,-2,-25,Commanders vs Vikings,0
1,-6,-1,-0.033,-19,-90,-15,0.509,56,5,0.942,0.271,14,46,-15,4,-0.405,37,35,623,3.05,2,3,5.362,1,6,3,2.774,36,14,24,Cowboys vs Dolphins,0
-1,-23,-21,-0.934,-192,-1343,95,-1.326,575,7,-0.266,0.663,25,189,95,8,-1.426,52,43,224,5.573,2,0,-5.307,10,11,12,11.568,31,37,18,Cowboys vs Eagles,0
2,-12,-10,-0.509,-66,-514,34,-1.485,-191,15,3.321,0.318,29,78,34,-5,-1.238,38,14,315,5.721,2,1,-8.121,8,6,11,10.285,-30,-5,31,Cowboys vs Falcons,0
8,-7,3,-0.231,5,-78,32,0.661,571,-15,1.596,2.242,16,46,32,1,0.466,28,16,595,3.782,1,8,-2.938,7,19,17,6.867,-3,-92,11,Cowboys vs Giants,1
4,-7,-1,-0.202,15,-24,55,-0.556,375,-6,-3.163,-1.936,29,91,55,-1,-0.384,20,26,778,6.398,2,7,0.629,10,18,13,4.277,-62,-9,37,Cowboys vs Jaguars,1
-8,-2,-7,-0.326,66,144,13,-0.15,76,-1,0.978,1.781,-9,30,13,3,-0.192,12,29,249,1.812,1,6,4.891,9,19,20,14.755,-38,27,21,Cowboys vs Jets,1
-16,-23,-37,-0.685,-105,-783,-1,-1.544,-626,17,-4.095,-3.104,21,86,-1,2,-2.139,42,50,343,0.688,2,-3,-2.226,17,18,14,3.277,25,93,-5,Cowboys vs Lions,0
-5,-17,-19,-0.771,-97,-791,90,-2.508,153,6,2.018,1.526,16,158,90,3,-1.799,30,52,-222,3.888,2,-4,-9.479,11,9,8,9.337,-7,2,14,Cowboys vs Packers,0
1,-12,-7,-0.606,19,-173,57,0.278,681,-12,0.202,2.467,10,90,57,-1,0.188,10,41,82,6.85,2,4,-3.205,12,21,18,9.196,-44,-121,41,Cowboys vs Panthers,1
5,-5,3,-0.441,-17,-264,56,0.506,749,-8,0.118,-4.391,17,108,56,3,0.105,27,41,523,6.626,2,6,0.462,-1,14,14,7.967,-10,-53,39,Cowboys vs Patriots,1
4,-4,3,0.403,49,348,-12,0.24,-25,-5,-0.876,0.064,32,2,-12,-2,-0.059,10,26,476,2.523,2,3,-5.538,11,7,6,7.336,14,-32,19,Cowboys vs Raiders,1
1,-9,-8,0.052,-21,-60,31,-0.88,-4,-1,1.137,0.898,37,78,31,5,-0.903,16,29,671,4.709,2,0,-3.692,16,13,11,7.546,-1,-64,33,Cowboys vs Rams,0
-18,-15,-32,-1.782,-125,-1484,80,-2.892,-97,7,0.443,0.16,-4,160,80,10,-2.358,43,49,257,5.055,2,1,-1.038,10,17,18,9.878,10,11,-17,Cowboys vs Ravens,0
2,-9,-4,-0.427,-15,-249,58,-0.69,362,-13,1.261,-2.7,18,86,58,2,-0.346,28,30,-417,5.061,2,-1,-4.609,13,16,13,2.811,-42,21,21,Cowboys vs Saints,1
2,-11,-10,-0.274,46,78,-15,-0.322,-287,-14,-1.655,2.402,9,44,-15,-2,-0.96,49,19,-62,4.062,1,0,-13.153,8,17,14,1.07,-16,-24,-7,Cowboys vs Seahawks,0
2,-8,-4,-0.09,-104,-461,77,-0.956,485,-6,0.308,-0.479,26,138,77,8,-0.804,36,49,-83,9.088,2,-4,-4.832,7,3,-1,1.218,7,6,0,Cowboys vs Steelers,0
3,-9,-5,-0.425,-5,-204,41,-0.789,140,-15,-2.287,1.549,9,67,41,2,-0.509,6,36,-74,0.697,2,-6,-7.012,15,5,4,4.216,7,61,7,Cowboys vs Texans,0
1,-5,0,-0.148,-21,-150,62,-0.496,471,-13,3.368,2.401,-4,107,62,-7,-0.408,17,43,165,5.063,2,2,-0.356,1,20,15,2.422,-5,-4,38,Cowboys vs Titans,1
-12,-3,-14,-0.085,-28,-150,34,-1.749,-287,5,1.135,3.009,18,89,34,2,-1.567,35,35,653,7.731,2,-11,1.629,12,5,5,6.359,-15,-5,-8,Cowboys vs Vikings,0
-2,-17,-20,-0.901,-173,-1253,110,-1.835,519,2,-1.208,0.392,11,143,110,4,-1.021,15,8,-399,2.523,0,-3,-10.669,9,5,9,8.794,-5,23,-6,Dolphins vs Eagles,0
1,-6,-9,-0.476,-47,-424,49,-1.994,-247,10,2.379,0.047,15,32,49,-9,-0.833,1,-21,-308,2.671,0,-2,-13.483,7,0,8,7.511,-66,-19,7,Dolphins vs Falcons,0
7,-1,4,-0.198,24,12,47,0.152,515,-20,0.654,1.971,2,0,47,-3,0.871,-9,-19,-28,0.732,-1,5,-8.3,6,13,14,4.093,-39,-106,-13,Dolphins vs Giants,1
3,-1,0,-0.169,34,66,70,-1.065,319,-11,-4.105,-2.207,15,45,70,-5,0.021,-17,-9,155,3.348,0,4,-4.733,9,12,10,1.503,-98,-23,13,Dolphins vs Jaguars,1
-9,4,-6,-0.293,85,234,28,-0.659,20,-6,0.036,1.51,-23,-16,28,-1,0.213,-25,-6,-374,-1.238,-1,3,-0.471,8,13,17,11.981,-74,13,-3,Dolphins vs Jets,1
-17,-17,-36,-0.652,-86,-693,14,-2.053,-682,12,-5.037,-3.375,7,40,14,-2,-1.734,5,15,-280,-2.362,0,-6,-7.588,16,12,11,0.503,-11,79,-29,Dolphins vs Lions,0
-6,-11,-18,-0.738,-78,-701,105,-3.017,97,1,1.076,1.255,2,112,105,-1,-1.394,-7,17,-845,0.838,0,-7,-14.841,10,3,5,6.563,-43,-12,-10,Dolphins vs Packers,0
0,-6,-6,-0.573,38,-83,72,-0.231,625,-17,-0.74,2.196,-4,44,72,-5,0.593,-27,6,-541,3.8,0,1,-8.567,11,15,15,6.422,-80,-135,17,Dolphins vs Panthers,1
4,1,4,-0.408,2,-174,71,-0.003,693,-13,-0.824,-4.662,3,62,71,-1,0.51,-10,6,-100,3.576,0,3,-4.9,-2,8,11,5.193,-46,-67,15,Dolphins vs Patriots,1
3,2,4,0.436,68,438,3,-0.269,-81,-10,-1.818,-0.207,18,-44,3,-6,0.346,-27,-9,-147,-0.527,0,0,-10.9,10,1,3,4.562,-22,-46,-5,Dolphins vs Raiders,1
0,-3,-7,0.085,-2,30,46,-1.389,-60,-6,0.195,0.627,23,32,46,1,-0.498,-21,-6,48,1.659,0,-3,-9.054,15,7,8,4.772,-37,-78,9,Dolphins vs Rams,0
-19,-9,-31,-1.749,-106,-1394,95,-3.401,-153,2,-0.499,-0.111,-18,114,95,6,-1.953,6,14,-366,2.005,0,-2,-6.4,9,11,15,7.104,-26,-3,-41,Dolphins vs Ravens,0
1,-3,-3,-0.394,4,-159,73,-1.199,306,-18,0.319,-2.971,4,40,73,-2,0.059,-9,-5,-1040,2.011,0,-4,-9.971,12,10,10,0.037,-78,7,-3,Dolphins vs Saints,1
1,-5,-9,-0.241,65,168,0,-0.831,-343,-19,-2.597,2.131,-5,-2,0,-6,-0.555,12,-16,-685,1.012,-1,-3,-18.515,7,11,11,-1.704,-52,-38,-31,Dolphins vs Seahawks,0
1,-2,-3,-0.057,-85,-371,92,-1.465,429,-11,-0.634,-0.75,12,92,92,4,-0.399,-1,14,-706,6.038,0,-7,-10.194,6,-3,-4,-1.556,-29,-8,-24,Dolphins vs Steelers,0
2,-3,-4,-0.392,14,-114,56,-1.298,84,-20,-3.229,1.278,-5,21,56,-2,-0.104,-31,1,-697,-2.353,0,-9,-12.374,14,-1,1,1.442,-29,47,-17,Dolphins vs Texans,0
0,1,1,-0.115,-2,-60,77,-1.005,415,-18,2.426,2.13,-18,61,77,-11,-0.003,-20,8,-458,2.013,0,-1,-5.718,0,14,12,-0.352,-41,-18,14,Dolphins vs Titans,1
-13,3,-13,-0.052,-9,-60,49,-2.258,-343,0,0.193,2.738,4,43,49,-2,-1.162,-2,0,30,4.681,0,-14,-3.733,11,-1,2,3.585,-51,-19,-32,Dolphins vs Vikings,0
3,11,11,0.425,126,829,-61,-0.159,-766,8,3.587,-0.345,4,-111,-61,-13,0.188,-14,-29,91,0.148,0,1,-2.814,-2,-5,-1,-1.283,-61,-42,13,Eagles vs Falcons,1
9,16,24,0.703,197,1265,-63,1.987,-4,-22,1.862,1.579,-9,-143,-63,-7,1.892,-24,-27,371,-1.791,-1,8,2.369,-3,8,5,-4.701,-34,-129,-7,Eagles vs Giants,1
5,16,20,0.732,207,1319,-40,0.77,-200,-13,-2.897,-2.599,4,-98,-40,-9,1.042,-32,-17,554,0.825,0,7,5.936,0,7,1,-7.291,-93,-46,19,Eagles vs Jaguars,1
-7,21,14,0.608,258,1487,-82,1.176,-499,-8,1.244,1.118,-34,-159,-82,-5,1.234,-40,-14,25,-3.761,-1,6,10.198,-1,8,8,3.187,-69,-10,3,Eagles vs Jets,1
-15,0,-16,0.249,87,560,-96,-0.218,-1201,10,-3.829,-3.767,-4,-103,-96,-6,-0.713,-10,7,119,-4.885,0,-3,3.081,7,7,2,-8.291,-6,56,-23,Eagles vs Lions,0
-4,6,2,0.163,95,552,-5,-1.182,-422,-1,2.284,0.863,-9,-31,-5,-5,-0.373,-22,9,-446,-1.685,0,-4,-4.172,1,-2,-4,-2.231,-38,-35,-4,Eagles vs Packers,1
2,11,14,0.328,211,1170,-38,1.604,106,-19,0.468,1.804,-15,-99,-38,-9,1.614,-42,-2,-142,1.277,0,4,2.102,2,10,6,-2.372,-75,-158,23,Eagles vs Panthers,1
6,18,24,0.493,175,1079,-39,1.832,174,-15,0.384,-5.054,-8,-81,-39,-5,1.531,-25,-2,299,1.053,0,6,5.769,-11,3,2,-3.601,-41,-90,21,Eagles vs Patriots,1
5,19,24,1.337,241,1691,-107,1.566,-600,-12,-0.61,-0.599,7,-187,-107,-10,1.367,-42,-17,252,-3.05,0,3,-0.231,1,-4,-6,-4.232,-17,-69,1,Eagles vs Raiders,1
2,14,13,0.986,171,1283,-64,0.446,-579,-8,1.403,0.235,12,-111,-64,-3,0.523,-36,-14,447,-0.864,0,0,1.615,6,2,-1,-4.022,-32,-101,15,Eagles vs Rams,1
-17,8,-11,-0.848,67,-141,-15,-1.566,-672,0,0.709,-0.503,-29,-29,-15,2,-0.932,-9,6,33,-0.518,0,1,4.269,0,6,6,-1.69,-21,-26,-35,Eagles vs Ravens,1
3,14,17,0.507,177,1094,-37,0.636,-213,-20,1.527,-3.363,-7,-103,-37,-6,1.08,-24,-13,-641,-0.512,0,-1,0.698,3,5,1,-8.757,-73,-16,3,Eagles vs Saints,1
3,12,11,0.66,238,1421,-110,1.004,-862,-21,-1.389,1.739,-16,-145,-110,-10,0.466,-3,-24,-286,-1.511,-1,0,-7.846,-2,6,2,-10.498,-47,-61,-25,Eagles vs Seahawks,1
3,15,17,0.844,88,882,-18,0.37,-90,-13,0.574,-1.142,1,-51,-18,0,0.622,-16,6,-307,3.515,0,-4,0.475,-3,-8,-13,-10.35,-24,-31,-18,Eagles vs Steelers,1
4,14,16,0.509,187,1139,-54,0.537,-435,-22,-2.021,0.886,-16,-122,-54,-6,0.917,-46,-7,-298,-4.876,0,-6,-1.705,5,-6,-8,-7.352,-24,24,-11,Eagles vs Texans,1
2,18,21,0.786,171,1193,-33,0.83,-104,-20,3.634,1.738,-29,-82,-33,-15,1.018,-35,0,-59,-0.51,0,2,4.951,-9,9,3,-9.146,-36,-41,20,Eagles vs Titans,1
-11,20,7,0.849,164,1193,-61,-0.423,-862,-2,1.401,2.346,-7,-100,-61,-6,-0.141,-17,-8,429,2.158,0,-11,6.936,2,-6,-7,-5.209,-46,-42,-26,Eagles vs Vikings,0
6,5,13,0.278,71,436,-2,2.146,762,-30,-1.725,1.924,-13,-32,-2,6,1.704,-10,2,280,-1.939,-1,7,5.183,-1,13,6,-3.418,27,-87,-20,Falcons vs Giants,1
2,5,9,0.307,81,490,21,0.929,566,-21,-6.484,-2.254,0,13,21,4,0.854,-18,12,463,0.677,0,6,8.75,2,12,2,-6.008,-32,-4,6,Falcons vs Jaguars,1
-10,10,3,0.183,132,658,-21,1.335,267,-16,-2.343,1.463,-38,-48,-21,8,1.046,-26,15,-66,-3.909,-1,5,13.012,1,13,9,4.47,-8,32,-10,Falcons vs Jets,1
-18,-11,-27,-0.176,-39,-269,-35,-0.059,-435,2,-7.416,-3.422,-8,8,-35,7,-0.901,4,36,28,-5.033,0,-4,5.895,9,12,3,-7.008,55,98,-36,Falcons vs Lions,0
-7,-5,-9,-0.262,-31,-277,56,-1.023,344,-9,-1.303,1.208,-13,80,56,8,-0.561,-8,38,-537,-1.833,0,-5,-1.358,3,3,-3,-0.948,23,7,-17,Falcons vs Packers,0
-1,0,3,-0.097,85,341,23,1.763,872,-27,-3.119,2.149,-19,12,23,4,1.426,-28,27,-233,1.129,0,3,4.916,4,15,7,-1.089,-14,-116,10,Falcons vs Panthers,1
3,7,13,0.068,49,250,22,1.991,940,-23,-3.203,-4.709,-12,30,22,8,1.343,-11,27,208,0.905,0,5,8.583,-9,8,3,-2.318,20,-48,8,Falcons vs Patriots,1
2,8,13,0.912,115,862,-46,1.725,166,-20,-4.197,-0.254,3,-76,-46,3,1.179,-28,12,161,-3.198,0,2,2.583,3,1,-5,-2.949,44,-27,-12,Falcons vs Raiders,1
-1,3,2,0.561,45,454,-3,0.605,187,-16,-2.184,0.58,8,0,-3,10,0.335,-22,15,356,-1.012,0,-1,4.429,8,7,0,-2.739,29,-59,2,Falcons vs Rams,0
-20,-3,-22,-1.273,-59,-970,46,-1.407,94,-8,-2.878,-0.158,-33,82,46,15,-1.12,5,35,-58,-0.666,0,0,7.083,2,11,7,-0.407,40,16,-48,Falcons vs Ravens,0
